#,origin_state,interstate,num_movers,num_plans,conversion_rate,avg_cost,1-3,1-3 Conversion Rate,3-6,3-6 Conversion Rate,6-9,6-9 Conversion Rate,9-12,9-12 Conversion Rate,12-15,12-15 Conversion Rate,15+,15+ Conversion Rate
1,AK,false,1.5,2,0,1275.87,2,0,0,0,0,0,0,0,0,0,0,0
2,AL,false,1,9,0,1520.91,9,0,0,0,0,0,0,0,0,0,0,0
3,AL,true,2.89,45,2.22,5342,35,2.86,9,0,0,0,0,0,0,0,1,0
4,AR,false,2.4,5,0,582.27,5,0,0,0,0,0,0,0,0,0,0,0
5,AR,true,1.44,34,0,5523.72,34,0,0,0,0,0,0,0,0,0,0,0
6,AZ,false,11.3,207,2.42,1011.1,9,0,16,0,5,0,101,1.98,75,4,1,0
7,AZ,true,3.08,158,0.63,5584.69,117,0,36,2.78,1,0,1,0,2,0,1,0
8,CA,false,11.52,1464,5.53,1546.99,109,0,131,0.76,189,7.41,376,6.38,333,4.2,326,8.59
9,CA,true,4.96,916,1.53,5620.81,206,0,539,1.86,156,2.56,5,0,3,0,7,0
10,CO,false,8.01,199,3.52,1279.45,6,0,31,3.23,157,2.55,1,0,1,0,3,66.67
11,CO,true,1.88,152,0,5793.87,152,0,0,0,0,0,0,0,0,0,0,0
12,CT,false,3.75,56,0,1889.85,28,0,27,0,0,0,0,0,0,0,1,0
13,CT,true,13.13,120,3.33,3997.35,1,0,1,0,25,0,36,0,25,8,32,6.25
14,DC,false,6.27,44,4.55,1010.23,1,0,37,2.7,3,0,0,0,2,0,1,100
15,DC,true,9.43,110,0.91,3532.71,0,0,9,0,47,2.13,42,0,11,0,1,0
16,DE,false,1,10,10,956.56,10,10,0,0,0,0,0,0,0,0,0,0
17,DE,true,9.71,14,0,4476.11,0,0,2,0,4,0,6,0,2,0,0,0
18,FL,false,11.96,422,3.08,1699.54,19,0,46,2.17,173,3.47,21,4.76,31,3.23,132,3.03
19,FL,true,6.49,426,1.17,5034.66,72,0,180,0.56,81,2.47,93,2.15,0,0,0,0
20,GA,false,5.16,229,6.55,1078.38,34,0,185,7.03,9,22.22,0,0,0,0,1,0
21,GA,true,4.58,207,1.45,5537.33,54,1.85,130,0.77,23,4.35,0,0,0,0,0,0
22,IA,false,1,16,0,1037.16,16,0,0,0,0,0,0,0,0,0,0,0
23,IA,true,1.23,30,0,4522.94,30,0,0,0,0,0,0,0,0,0,0,0
24,ID,false,3.45,11,0,966.14,2,0,9,0,0,0,0,0,0,0,0,0
25,ID,true,1,14,0,4664.2,14,0,0,0,0,0,0,0,0,0,0,0
26,IL,false,2.33,52,0,971.13,39,0,12,0,1,0,0,0,0,0,0,0
27,IL,true,5.8,316,2.22,5087.95,39,0,158,1.27,116,4.31,0,0,1,0,2,0
28,IN,true,3.25,91,1.1,5115.68,60,1.67,28,0,3,0,0,0,0,0,0,0
29,KS,false,1.65,20,0,1241.14,20,0,0,0,0,0,0,0,0,0,0,0
30,KS,true,2.52,56,1.79,5842.27,47,2.13,8,0,0,0,0,0,0,0,1,0
31,KY,true,3.07,58,1.72,5498.58,43,2.33,14,0,0,0,0,0,1,0,0,0
32,LA,false,1.66,32,0,880.4,32,0,0,0,0,0,0,0,0,0,0,0
33,LA,true,1.8,80,0,5513.03,79,0,1,0,0,0,0,0,0,0,0,0
34,MA,false,6.64,191,5.24,995.51,10,0,43,9.3,138,4.35,0,0,0,0,0,0
35,MA,true,12.31,219,5.02,4334.23,0,0,12,8.33,37,2.7,63,3.17,63,6.35,44,6.82
36,MD,false,8.5,157,3.82,1349.74,3,0,9,0,138,4.35,4,0,0,0,3,0
37,MD,true,9.9,198,1.01,4683.76,1,0,19,0,82,1.22,61,0,30,3.33,5,0
38,ME,false,1,1,0,682.3,1,0,0,0,0,0,0,0,0,0,0,0
39,ME,true,3.16,19,0,6506.34,13,0,5,0,1,0,0,0,0,0,0,0
40,MI,false,2.51,94,1.06,1224.84,93,1.08,1,0,0,0,0,0,0,0,0,0
41,MI,true,3.27,114,0,6238.82,67,0,44,0,2,0,0,0,0,0,1,0
42,MN,false,4.37,83,2.41,1221.74,11,0,72,2.78,0,0,0,0,0,0,0,0
43,MN,true,1.2,55,0,5127.86,54,0,0,0,0,0,1,0,0,0,0,0
44,MO,false,2.5,54,0,1155.08,51,0,1,0,0,0,0,0,1,0,1,0
45,MO,true,2.6,100,0,5165.99,75,0,25,0,0,0,0,0,0,0,0,0
46,MS,false,1,5,0,765.79,5,0,0,0,0,0,0,0,0,0,0,0
47,MS,true,1.5,22,0,5498.27,22,0,0,0,0,0,0,0,0,0,0,0
48,MT,true,1,11,0,4994.34,11,0,0,0,0,0,0,0,0,0,0,0
49,NC,false,3.7,164,2.44,1471.89,65,0,97,4.12,1,0,0,0,0,0,1,0
50,NC,true,3.33,204,0.49,5287.42,126,0,75,1.33,1,0,0,0,0,0,2,0
51,ND,true,1,7,0,5385.21,7,0,0,0,0,0,0,0,0,0,0,0
52,NE,true,1.82,11,0,5110.52,10,0,0,0,0,0,1,0,0,0,0,0
53,NH,false,1,10,0,1323,10,0,0,0,0,0,0,0,0,0,0,0
54,NH,true,8.83,35,2.86,4728.31,2,0,8,0,10,0,8,0,6,16.67,1,0
55,NJ,false,11.56,361,5.26,1507.31,1,0,3,0,9,0,334,4.49,5,20,9,33.33
56,NJ,true,18.66,465,7.96,3793.01,0,0,1,0,26,0,83,1.2,68,5.88,287,11.15
57,NM,false,5.43,7,0,2000.67,6,0,0,0,0,0,0,0,0,0,1,0
58,NM,true,2.82,28,0,4635.18,27,0,0,0,0,0,0,0,0,0,1,0
59,NV,false,3,40,5,780.67,40,5,0,0,0,0,0,0,0,0,0,0
60,NV,true,3.08,90,1.11,4825.01,50,2,40,0,0,0,0,0,0,0,0,0
61,NY,false,21.6,3360,13.57,1756.39,34,0,17,0,29,10.34,28,7.14,129,10.85,3123,13.99
62,NY,true,17.31,1246,6.58,3826.46,23,0,64,0,51,5.88,172,5.23,255,8.63,681,7.05
63,OH,false,2.88,165,1.21,1792.51,123,0,40,2.5,1,100,0,0,0,0,1,0
64,OH,true,3.46,182,0.55,6014.83,94,1.06,86,0,1,0,0,0,0,0,1,0
65,OK,false,1.04,24,0,1438.72,24,0,0,0,0,0,0,0,0,0,0,0
66,OK,true,1.74,27,0,5610.97,25,0,2,0,0,0,0,0,0,0,0,0
67,OR,false,5,2,0,9396.08,1,0,0,0,1,0,0,0,0,0,0,0
68,OR,true,1.02,58,1.72,5210.36,58,1.72,0,0,0,0,0,0,0,0,0,0
69,PA,false,1.88,43,0,2067.19,41,0,0,0,0,0,1,0,0,0,1,0
70,PA,true,9.88,272,2.57,4982.45,9,0,72,0,60,0,62,3.23,34,2.94,35,11.43
71,RI,false,1,18,0,599.07,18,0,0,0,0,0,0,0,0,0,0,0
72,RI,true,13.35,23,0,3580.1,0,0,1,0,1,0,9,0,6,0,6,0
73,SC,false,1,11,0,943.78,11,0,0,0,0,0,0,0,0,0,0,0
74,SC,true,2.59,73,2.74,5102.26,65,3.08,8,0,0,0,0,0,0,0,0,0
75,SD,true,1.09,11,0,5040.49,11,0,0,0,0,0,0,0,0,0,0,0
76,TN,false,3.95,100,1,1200.5,35,0,62,0,0,0,0,0,1,0,2,50
77,TN,true,2.76,127,0,5779.76,97,0,29,0,1,0,0,0,0,0,0,0
78,TX,false,13.12,673,2.38,1679.99,22,0,51,0,108,1.85,234,2.99,3,0,255,2.75
79,TX,true,4.9,438,0.68,5939.69,94,0,253,0.4,90,2.22,0,0,0,0,1,0
80,UT,false,3.53,34,0,1361.06,11,0,23,0,0,0,0,0,0,0,0,0
81,UT,true,1.02,58,0,5047.41,58,0,0,0,0,0,0,0,0,0,0,0
82,VA,false,6.03,155,3.87,1462.62,35,0,29,0,89,6.74,1,0,1,0,0,0
83,VA,true,6.76,265,2.64,4953.96,28,0,98,1.02,94,2.13,38,10.53,7,0,0,0
84,VT,true,4,23,0,5305.25,12,0,8,0,3,0,0,0,0,0,0,0
85,WA,false,3.84,337,3.26,1318.32,92,2.17,240,3.33,1,0,1,100,0,0,3,0
86,WA,true,1.53,157,0,6835.02,157,0,0,0,0,0,0,0,0,0,0,0
87,WI,false,2.2,59,0,1280.26,48,0,11,0,0,0,0,0,0,0,0,0
88,WI,true,3.37,98,0,5037.34,50,0,46,0,1,0,0,0,0,0,1,0
89,WV,true,4.25,24,0,5323.57,9,0,12,0,3,0,0,0,0,0,0,0
90,WY,false,2,1,0,663.13,1,0,0,0,0,0,0,0,0,0,0,0
91,WY,true,3.8,5,0,5857.36,4,0,0,0,0,0,1,0,0,0,0,0
